category,class_code,description,type,rank
ECONOMY,N,Lowest published fares,Public,1
ECONOMY,Q,Highly restricted discount,Public,2
ECONOMY,T,Cheap leisure fares,Public,3
ECONOMY,V,Cheap leisure fares,Public,4
ECONOMY,L,Cheap leisure fares,Public,5
ECONOMY,K,Cheap leisure fares,Public,6
ECONOMY,H,Semi-flexible fares,Public,7
ECONOMY,M,Semi-flexible fares,Public,8
ECONOMY,B,Flexible economy,Public,9
ECONOMY,Y,Full fare economy,Public,10
PREMIUM ECONOMY,W,Discount premium economy,Public,11
PREMIUM ECONOMY,E,Premium economy / Corporate fares,Public,12
PREMIUM ECONOMY,P,Highest premium economy OR discounted business,Public,13
BUSINESS CLASS,Z,Discount business,Public,14
BUSINESS CLASS,D,Semi-flex business,Public,15
BUSINESS CLASS,C,Full business,Public,16
BUSINESS CLASS,J,Highest business,Public,17
FIRST CLASS,A,Discounted first class,Public,18
FIRST CLASS,F,Full fare first class - highest overall,Public,19
UPGRADE,R,Upgrade inventory (premium cabins, often business/first upgrades),Special,20
UPGRADE,U,Upgrade inventory (economy to business upgrades),Special,21
GROUP,G,Group bookings,Special,22
AWARD,X,Economy award tickets,Special,23
AWARD,I,Business award tickets,Special,24
AWARD,O,First class awards,Special,25
STAFF,S,Staff,Non-revenue,26
